tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
AEC_2035,Conversion,"Alkaline water electrolysis (AEC) operating at 60–90 °C, producing hydrogen exclusively using renewable energy.",Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2035,360,kt CO₂/y input,"Iceland, The Netherlands, Spain, and Chile",EUR,,Established,,,electricity,electricity,55.1,kWh_el/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,790.5,EUR/kW system,48.9,% of system CAPEX stack,75532,h,2024,"Near-future AEC requires 55.1 kWh_el/kg H₂, costs 790.5 €/kW system, and has a stack lifetime of 75 532 h.",gpt-5.6-luna
AEC_2050,Conversion,Alkaline water electrolysis (AEC) using renewable electricity at 60–90 °C.,Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2050,,,"Iceland, The Netherlands, Spain, and Chile",EUR,,Well-established,,,electricity,electricity,48.9,kWh_el/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,527.2,EUR/kW system,48.8,% of system CAPEX stack,87500,h,2024,"Long-term AEC requires 48.9 kWh_el/kg H₂, costs 527.2 €/kW system, and has a stack lifetime of 87 500 h.",gpt-5.6-luna
PEM_2035,Conversion,"Proton exchange membrane electrolysis (PEM) operating at 60–90 °C, producing hydrogen exclusively using renewable energy.",Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2035,360,kt CO₂/y input,"Iceland, The Netherlands, Spain, and Chile",EUR,,Established,,,electricity,electricity,57.9,kWh_el/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,1047.9,EUR/kW system,42.0,% of system CAPEX stack,64026,h,2024,"Near-future PEM requires 57.9 kWh_el/kg H₂, costs 1047.9 €/kW system, and has a stack lifetime of 64 026 h.",gpt-5.6-luna
PEM_2050,Conversion,Proton exchange membrane electrolysis (PEM) using renewable electricity at 60–90 °C.,Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2050,,,"Iceland, The Netherlands, Spain, and Chile",EUR,,Well-established,,,electricity,electricity,53.1,kWh_el/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,473.5,EUR/kW system,39.4,% of system CAPEX stack,85420,h,2024,"Long-term PEM requires 53.1 kWh_el/kg H₂, costs 473.5 €/kW system, and has a stack lifetime of 85 420 h.",gpt-5.6-luna
SOEC_2035,Conversion,"Solid oxide electrolysis cell (SOEC) operating at 700–850 °C below thermoneutral conditions, using high-temperature steam supplied by natural-gas-fed boilers.",Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2035,,,"Iceland, The Netherlands, Spain, and Chile",EUR,,Established after 2035,,,electricity; thermal energy; steam,electricity,34.1; 8.3,kWh_el/kg H₂; kWh_th/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,1739.5,EUR/kW system,27.0,% of system CAPEX stack,30308,h,2024,"Near-future SOEC requires 34.1 kWh_el/kg H₂ and 8.3 kWh_th/kg H₂, costs 1739.5 €/kW system, and has a stack lifetime of 30 308 h.",gpt-5.6-luna
SOEC_2050,Conversion,"Solid oxide electrolysis cell (SOEC) operating at 700–850 °C below thermoneutral conditions, with thermal energy requirements equal to the near-future case.",Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2050,,,"Iceland, The Netherlands, Spain, and Chile",EUR,,Well-established assumption,,,electricity; thermal energy; steam,electricity,34.1; 8.3,kWh_el/kg H₂; kWh_th/kg H₂,hydrogen,hydrogen,1,kg/kg-H₂,958.3,EUR/kW system,13.8,% of system CAPEX stack,71991,h,2024,"Long-term SOEC requires 34.1 kWh_el/kg H₂ and 8.3 kWh_th/kg H₂, costs 958.3 €/kW system, and has a stack lifetime of 71 991 h.",gpt-5.6-luna
LT_DAC_2035,Capture,"Temperature-vacuum swing adsorption using an amine-functionalized solid sorbent, requiring low-temperature heat below 100 °C.",Adsorption,Industry,CO₂ Capture,Solid sorbent,Low-temperature direct air capture,2035,360,kt CO₂/y,"Iceland, The Netherlands, Spain, and Chile",EUR,,Multimegaton-scale capture targeted by 2030,,,electricity; heat; sorbent,heat,0.48; 2.53; 7.5,MWh_el/t CO₂; MWh_th/t CO₂; kg/t CO₂,captured CO₂,captured CO₂,1,t CO₂,730.0,EUR/t CO₂*y,21.5,EUR/kg sorbent,25,years,2024,"Near-future low-temperature DAC requires 0.48 MWh_el/t CO₂, 2.53 MWh_th/t CO₂, and 7.50 kg sorbent/t CO₂, with CAPEX of 730.0 €/t CO₂*y.",gpt-5.6-luna
LT_DAC_2050,Capture,"Temperature-vacuum swing adsorption using an amine-functionalized sorbent, requiring low-temperature heat below 100 °C.",Adsorption,Industry,CO₂ Capture,Solid sorbent,Low-temperature direct air capture,2050,,,"Iceland, The Netherlands, Spain, and Chile",EUR,,Long-term future deployment,,,electricity; heat; sorbent,heat,0.38; 1.5,MWh_el/t CO₂; MWh_th/t CO₂; kg/t CO₂,captured CO₂,captured CO₂,1,t CO₂,237.0,EUR/t CO₂*y,7.4,EUR/kg sorbent,25,years,2024,"Long-term low-temperature DAC requires 0.38 MWh_el/t CO₂ and 1.50 MWh_th/t CO₂, with CAPEX of 237.0 €/t CO₂*y and sorbent cost of 7.4 €/kg.",gpt-5.6-luna
HT_DAC_2035,Capture,High-temperature aqueous absorption direct air capture requiring heat above 100 °C supplied by natural-gas-fed boilers.,Absorption,Industry,CO₂ Capture,Aqueous,High-temperature direct air capture,2035,360,kt CO₂/y,"Iceland, The Netherlands, Spain, and Chile",,,,,,heat; electricity; aqueous absorbent,heat,100,°C,captured CO₂,captured CO₂,,,,,,,25,years,2024,"Near-future high-temperature DAC uses high-temperature heat, electricity, and aqueous absorbent, but quantities and costs are not reported.",gpt-5.6-luna
HT_DAC_2050,Capture,High-temperature aqueous absorption direct air capture requiring heat above 100 °C supplied by natural-gas-fed boilers.,Absorption,Industry,CO₂ Capture,Aqueous,High-temperature direct air capture,2050,360,kt CO₂/y,"Iceland, The Netherlands, Spain, and Chile",,,,,,heat; electricity; aqueous absorbent,heat,100,°C,captured CO₂,captured CO₂,,,,,,,25,years,2024,"Long-term high-temperature DAC uses high-temperature heat, electricity, and aqueous absorbent, but quantities and costs are not reported.",gpt-5.6-luna
