tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
AEC_2035,Conversion,MW-scale alkaline water electrolysis operating at 60-90 °C to produce hydrogen.,Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2035,,,,EUR,,MW-scale,,kWh el/kg H2,electricity,electricity,55.1,kWh el/kg H2,hydrogen,hydrogen,1,kg H2,790.5,€/kW system,48.9,% of system,75532,h,2035,"Near-future alkaline electrolysis requires 55.1 kWh el/kg H2, with CAPEX of 790.5 €/kW system and a stack lifetime of 75,532 h.",gpt-5.6-terra
AEC_2050,Conversion,MW-scale alkaline water electrolysis operating at 60-90 °C to produce hydrogen.,Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2050,,,"Iceland, The Netherlands, Spain, Chile",EUR,,MW-scale,,kWh el/kg H2,electricity,electricity,48.9,kWh el/kg H2,hydrogen,hydrogen,1,kg H2,527.2,€/kW system,48.8,% of system,87500,h,2035,"Long-term alkaline electrolysis requires 48.9 kWh el/kg H2, with CAPEX of 527.2 €/kW system and a stack lifetime of 87,500 h.",gpt-5.6-terra
PEM_2035,Conversion,MW-scale proton exchange membrane water electrolysis operating at 60-90 °C to produce hydrogen.,Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2035,,,,EUR,,MW-scale,,kWh el/kg H2,electricity,electricity,57.9,kWh el/kg H2,hydrogen,hydrogen,1,kg H2,1047.9,€/kW system,42.0,% of system,64026,h,2035,"Near-future PEM electrolysis requires 57.9 kWh el/kg H2, with CAPEX of 1047.9 €/kW system and a stack lifetime of 64,026 h.",gpt-5.6-terra
PEM_2050,Conversion,MW-scale proton exchange membrane water electrolysis operating at 60-90 °C to produce hydrogen.,Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2050,,,"Iceland, The Netherlands, Spain, Chile",EUR,,MW-scale,,kWh el/kg H2,electricity,electricity,53.1,kWh el/kg H2,hydrogen,hydrogen,1,kg H2,473.5,€/kW system,39.4,% of system,85420,h,2035,"Long-term PEM electrolysis requires 53.1 kWh el/kg H2, with CAPEX of 473.5 €/kW system and a stack lifetime of 85,420 h.",gpt-5.6-terra
SOEC_2035,Conversion,"Solid oxide steam electrolysis operates at 700-850 °C below thermoneutral conditions, using natural-gas-supplied high-temperature steam.",Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2035,,,,EUR,,,,"kWh el/kg H2,kWh th/kg H2",electricity; heat,electricity,34.1; 8.3,kWh el/kg H2; kWh th/kg H2,hydrogen,hydrogen,1,kg H2,1739.5,€/kW system,27.0,% of system,30308,h,2035,"Near-future SOEC requires 34.1 kWh el/kg H2 and 8.3 kWh th/kg H2, with CAPEX of 1739.5 €/kW system and a stack lifetime of 30,308 h.",gpt-5.6-terra
SOEC_2050,Conversion,"Solid oxide steam electrolysis operates at 700-850 °C below thermoneutral conditions, using natural-gas-supplied high-temperature steam.",Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2050,,,"The Netherlands, Chile",EUR,,,,"kWh el/kg H2,kWh th/kg H2",electricity; heat,electricity,34.1; 8.3,kWh el/kg H2; kWh th/kg H2,hydrogen,hydrogen,1,kg H2,958.3,€/kW system,13.8,% of system,71991,h,2035,"Long-term SOEC retains the near-future energy requirements of 34.1 kWh el/kg H2 and 8.3 kWh th/kg H2, with CAPEX of 958.3 €/kW system and a stack lifetime of 71,991 h.",gpt-5.6-terra
LTDAC_2035,Capture,Low-temperature direct air capture uses temperature-vacuum swing adsorption with an amine-functionalized sorbent and heat below 100 °C.,Direct air capture,Chemicals,CO2 Capture,Solid sorbent,Low-temperature direct air capture,2035,360,kt CO2/y,Iceland,EUR,,Climeworks Mammoth nominal capacity: 36 kt CO2/y under full operation; multimegaton scale targeted by 2030,,,electricity; heat; sorbent,electricity,0.48; 2.53; 7.5,MWh el/t CO2; MWh th/t CO2; kg/t CO2,captured CO2,captured CO2,1,t CO2,730.0,€/t CO2*y,21.5,€/kg sorbent,,,2035,"Near-future LT DAC captures CO2 using 0.48 MWh el/t CO2, 2.53 MWh th/t CO2, and 7.50 kg sorbent/t CO2. CAPEX is 730.0 €/t CO2*y.",gpt-5.6-terra
LTDAC_2050,Capture,Low-temperature direct air capture uses temperature-vacuum swing adsorption with an amine-functionalized sorbent and heat below 100 °C.,Direct air capture,Chemicals,CO2 Capture,Solid sorbent,Low-temperature direct air capture,2050,,,,EUR,,,,,electricity; heat,electricity,0.38; 1.5,MWh el/t CO2; MWh th/t CO2,captured CO2,captured CO2,1,t CO2,237.0,€/t CO2*y,7.4,€/kg sorbent,,,2035,"Long-term LT DAC captures CO2 using 0.38 MWh el/t CO2 and 1.50 MWh th/t CO2, with CAPEX of 237.0 €/t CO2*y.",gpt-5.6-terra
HTDAC_2035,Capture,High-temperature direct air capture uses aqueous absorption and natural-gas-fired boilers for heat and calcination above 100 °C.,Direct air capture,Chemicals,CO2 Capture,Aqueous absorption,High-temperature direct air capture,2035,,,"Iceland, The Netherlands, Spain, Chile",EUR,,,,,natural gas,natural gas,,,captured CO2,captured CO2,,,,,25.0,€/MWh th,,,2035,Near-future high-temperature DAC relies on natural gas for heat and calcination. Its minimum selling prices are on average 21.5% higher and life-cycle GHG emissions on average 1.5 times those of LT DAC.,gpt-5.6-terra
HTDAC_2050,Capture,High-temperature direct air capture uses aqueous absorption with natural-gas-fired calcination.,Direct air capture,Chemicals,CO2 Capture,Aqueous absorption,High-temperature direct air capture,2050,,,,,,,,,natural gas,natural gas,,,captured CO2,captured CO2,,,,,,,,,2035,"Long-term high-temperature DAC uses natural gas for high-temperature heat and calcination, with life-cycle GHG emissions reported as on average 1.5 times those of LT DAC.",gpt-5.6-terra
PSCC_2035,Capture,Flue-gas CO2 capture from hard-to-abate point sources such as cement plants. Ambient-condition effects are neglected.,CO2 capture,Industry,CO2 Capture,Point-source flue-gas capture,Point-source carbon capture,2035,,,,EUR,,"Applied to hard-to-abate industrial sources, e.g., cement plants",,,flue gas; capture utilities,flue gas,,,CO2,CO2,,,,,50,EUR/t CO2,,,2035,"Point-source carbon capture is applied to hard-to-abate industrial sources. OPEX is assumed at 50 EUR/t CO2, within a 30-70 EUR/t CO2 range; FT fuels using this CO2 are on average 50% cheaper than those using long-term DAC CO2.",gpt-5.6-terra
PSCC_2050,Capture,Point-source flue-gas CO2 capture from hard-to-abate sectors.,CO2 capture,Industry,CO2 Capture,Point-source flue-gas capture,Point-source carbon capture,2050,,,Iceland,,,,,,flue gas; capture utilities,flue gas,,,CO2,CO2,,,,,,,,,2035,"No separate technical or cost values are specified. In Iceland using AEC, point-source CO2 gives average MSPs 7.6% lower than long-term DAC CO2 but GHG emissions 10.9% higher.",gpt-5.6-terra
RWGS_2035,Conversion,Reverse water-gas shift converts CO2 and hydrogen to CO for Fischer-Tropsch synthesis.,Reverse water-gas shift,Fuels,Syngas Production,Reverse water-gas shift,Reverse water-gas shift,2035,229.3,kt CO/y,,EUR,,,,,CO2; hydrogen,CO2,,,CO,CO,,,28.4,M EUR,,,,,2035,"The RWGS plant is sized for 229.3 kt CO/y based on 360 kt CO2/y input. Baseline CAPEX is 28.4 M EUR in 2020 euros, including all necessary subunits.",gpt-5.6-terra
RWGS_2050,Conversion,Reverse water-gas shift produces a CO intermediate from CO2 and hydrogen for Fischer-Tropsch fuel synthesis.,Reverse water-gas shift,Fuels,Syngas Production,Reverse water-gas shift,Reverse water-gas shift,2050,229.3,kt CO/y,,EUR,,,,,CO2; hydrogen,CO2,,,CO,CO,,,,,,,,,2035,The CO output capacity basis is 229.3 kt CO/y. No separate future RWGS technical or cost values are specified; FT fuels via RWGS have MSPs of 1150-1750 EUR/t and 55-88% lower cradle-to-gate GHG emissions than fossil-based FT fuels.,gpt-5.6-terra
ERCO2_2035,Conversion,Electrochemical CO2 reduction converts CO2 to CO for Fischer-Tropsch synthesis.,Electrochemical CO2 reduction,Fuels,Syngas Production,Electrochemical CO2-to-CO,Electrochemical CO2 reduction,2035,225.3,kt CO/y,,EUR,,,,,CO2; electricity,CO2,,,CO,CO,,,95.5,M EUR,,,,,2035,"The electrochemical CO2 reduction plant is sized for 225.3 kt CO/y based on 360 kt CO2/y input. Baseline CAPEX is 95.5 M EUR in 2020 euros, including all necessary subunits.",gpt-5.6-terra
ERCO2_2050,Conversion,Electrochemical CO2 reduction produces a CO intermediate from CO2 and electricity for Fischer-Tropsch fuel synthesis.,Electrochemical CO2 reduction,Fuels,Syngas Production,Electrochemical CO2-to-CO,Electrochemical CO2 reduction,2050,225.3,kt CO/y,,EUR,,,,,CO2; electricity,CO2,,,CO,CO,,,,,,,,,2035,The CO output capacity basis is 225.3 kt CO/y. No separate future electrochemical reduction technical or cost values are specified; FT fuels via this route have MSPs of 1200-1900 EUR/t and 54-92% lower cradle-to-gate GHG emissions than fossil-based FT fuels.,gpt-5.6-terra
FTS_2035,Conversion,Fischer-Tropsch synthesis produces a mixed FT fuel product using CO supplied by RWGS or electrochemical CO2 reduction and hydrogen.,Fischer-Tropsch synthesis,Fuels,Fischer-Tropsch Synthesis,Mixed-product synthesis,Fischer-Tropsch synthesis,2035,,,,EUR,,,,,CO; hydrogen,CO,,,FT fuels,FT fuels,116.4; 114.4,kt FT-fuel/y via RWGS; kt FT-fuel/y via ER,,,,,,,2035,"Output is 116.4 kt FT-fuel/y via RWGS or 114.4 kt FT-fuel/y via electrochemical reduction. Baseline CAPEX is 100.1 M EUR via RWGS and 98.8 M EUR via electrochemical reduction, including all necessary subunits.",gpt-5.6-terra
FTS_2050,Conversion,Fischer-Tropsch synthesis produces a mixed FT fuel product from CO and hydrogen.,Fischer-Tropsch synthesis,Fuels,Fischer-Tropsch Synthesis,Mixed-product synthesis,Fischer-Tropsch synthesis,2050,,,,EUR,,,,,CO; hydrogen,CO,,,FT fuels,FT fuels,,,,,,,,,2035,No separate future synthesis technical or cost values are specified. FT fuel MSP is 1150-1750 EUR/t via RWGS and 1200-1900 EUR/t via electrochemical reduction.,gpt-5.6-terra
